index,season,conf,division,team,wins,losses,ties,pct,div_rank,scored,allowed,net,sov,sos,seed,playoff,scored_diff,net_diff,sign
179,2007,NFC,NFC East,WAS,9,7,0,0.5625,3,334,310,24,0.458333,0.554688,6.0,LostWC,27.0,93.0,1
211,2008,NFC,NFC East,WAS,8,8,0,0.5,4,265,296,-31,0.40625,0.472656,NaN,NaN,-69.0,-55.0,0
243,2009,NFC,NFC East,WAS,4,12,0,0.25,4,266,336,-70,0.265625,0.492188,NaN,NaN,1.0,-39.0,0
275,2010,NFC,NFC East,WAS,6,10,0,0.375,4,302,377,-75,0.53125,0.515625,NaN,NaN,36.0,-5.0,0
307,2011,NFC,NFC East,WAS,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,NaN,NaN,-14.0,-4.0,0
339,2012,NFC,NFC East,WAS,10,6,0,0.625,1,436,388,48,0.45,0.492188,4.0,LostWC,148.0,127.0,1
371,2013,NFC,NFC East,WAS,3,13,0,0.1875,4,334,478,-144,0.4375,0.515625,NaN,NaN,-102.0,-192.0,0
403,2014,NFC,NFC East,WAS,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,NaN,NaN,-33.0,7.0,1
435,2015,NFC,NFC East,WAS,9,7,0,0.5625,1,388,379,9,0.395833,0.464844,4.0,LostWC,87.0,146.0,1
467,2016,NFC,NFC East,WAS,8,7,1,0.53125,3,396,383,13,0.429688,0.511719,NaN,NaN,8.0,4.0,1
499,2017,NFC,NFC East,WAS,7,9,0,0.4375,3,342,388,-46,0.428571,0.539062,NaN,NaN,-54.0,-59.0,0
531,2018,NFC,NFC East,WAS,7,9,0,0.4375,3,281,359,-78,0.366071,0.484375,NaN,NaN,-61.0,-32.0,0
563,2019,NFC,NFC East,WAS,3,13,0,0.1875,4,266,435,-169,0.270833,0.5,NaN,NaN,-15.0,-91.0,0
595,2020,NFC,NFC East,WAS,1,3,0,0.25,2,79,112,-33,0.0625,0.0351562,NaN,NaN,-187.0,136.0,1
4,2002,AFC,AFC North,BAL,7,9,0,0.4375,3,316,354,-38,0.383929,0.5,NaN,NaN,210.0,-6.0,0
36,2003,AFC,AFC North,BAL,10,6,0,0.625,1,391,281,110,0.4,0.457031,4.0,LostWC,75.0,148.0,1
68,2004,AFC,AFC North,BAL,9,7,0,0.5625,2,317,268,49,0.472222,0.550781,NaN,NaN,-74.0,-61.0,0
100,2005,AFC,AFC North,BAL,6,10,0,0.375,3,265,299,-34,0.375,0.523438,NaN,NaN,-52.0,-83.0,0
132,2006,AFC,AFC North,BAL,13,3,0,0.8125,1,353,201,152,0.447115,0.460938,2.0,LostDV,88.0,186.0,1
164,2007,AFC,AFC North,BAL,5,11,0,0.3125,4,275,384,-109,0.375,0.515625,NaN,NaN,-78.0,-261.0,0
196,2008,AFC,AFC North,BAL,11,5,0,0.6875,2,385,244,141,0.403409,0.515625,6.0,LostCC,110.0,250.0,1
228,2009,AFC,AFC North,BAL,9,7,0,0.5625,2,391,261,130,0.402778,0.523438,6.0,LostDV,6.0,-11.0,0
260,2010,AFC,AFC North,BAL,12,4,0,0.75,2,357,270,87,0.421875,0.484375,5.0,LostDV,-34.0,-43.0,0
292,2011,AFC,AFC North,BAL,12,4,0,0.75,1,378,266,112,0.484375,0.476562,2.0,LostCC,21.0,25.0,1
324,2012,AFC,AFC North,BAL,10,6,0,0.625,1,398,344,54,0.4375,0.496094,4.0,WonSB,20.0,-58.0,0
356,2013,AFC,AFC North,BAL,8,8,0,0.5,3,320,352,-32,0.414062,0.476562,NaN,NaN,-78.0,-86.0,0
388,2014,AFC,AFC North,BAL,10,6,0,0.625,3,409,302,107,0.375,0.46875,6.0,LostDV,89.0,139.0,1
420,2015,AFC,AFC North,BAL,5,11,0,0.3125,3,349,405,-56,0.425,0.507812,NaN,NaN,-60.0,-163.0,0
452,2016,AFC,AFC North,BAL,8,8,0,0.5,2,343,321,22,0.359375,0.492188,NaN,NaN,-6.0,78.0,1
484,2017,AFC,AFC North,BAL,9,7,0,0.5625,2,395,303,92,0.298611,0.441406,NaN,NaN,52.0,70.0,1
516,2018,AFC,AFC North,BAL,10,6,0,0.625,1,389,287,102,0.44375,0.488281,4.0,LostWC,-6.0,10.0,1
548,2019,AFC,AFC North,BAL,14,2,0,0.875,1,531,282,249,0.482143,0.492188,1.0,LostDV,142.0,147.0,1
580,2020,AFC,AFC North,BAL,3,1,0,0.75,2,122,73,49,0.0833333,0.03125,6.0,NaN,-409.0,-200.0,0
0,2002,AFC,AFC East,BUF,8,8,0,0.5,4,379,397,-18,0.351562,0.472656,NaN,NaN,257.0,-67.0,0
32,2003,AFC,AFC East,BUF,6,10,0,0.375,3,243,279,-36,0.4375,0.570312,NaN,NaN,-136.0,-18.0,0
64,2004,AFC,AFC East,BUF,9,7,0,0.5625,3,395,284,111,0.381944,0.511719,NaN,NaN,152.0,147.0,1
96,2005,AFC,AFC East,BUF,5,11,0,0.3125,3,271,367,-96,0.45,0.5,NaN,NaN,-124.0,-207.0,0
128,2006,AFC,AFC East,BUF,7,9,0,0.4375,3,300,311,-11,0.446429,0.574219,NaN,NaN,29.0,85.0,1
160,2007,AFC,AFC East,BUF,7,9,0,0.4375,2,252,354,-102,0.276786,0.515625,NaN,NaN,-48.0,-91.0,0
192,2008,AFC,AFC East,BUF,7,9,0,0.4375,4,336,342,-6,0.303571,0.453125,NaN,NaN,84.0,96.0,1
224,2009,AFC,AFC East,BUF,6,10,0,0.375,4,258,328,-70,0.46875,0.515625,NaN,NaN,-78.0,-64.0,0
256,2010,AFC,AFC East,BUF,4,12,0,0.25,4,283,425,-142,0.34375,0.578125,NaN,NaN,25.0,-72.0,0
288,2011,AFC,AFC East,BUF,6,10,0,0.375,4,372,434,-62,0.510417,0.519531,NaN,NaN,89.0,80.0,1
320,2012,AFC,AFC East,BUF,6,10,0,0.375,4,344,435,-91,0.28125,0.476562,NaN,NaN,-28.0,-29.0,0
352,2013,AFC,AFC East,BUF,6,10,0,0.375,4,339,388,-49,0.5,0.515625,NaN,NaN,-5.0,42.0,1
384,2014,AFC,AFC East,BUF,9,7,0,0.5625,2,343,289,54,0.486111,0.515625,NaN,NaN,4.0,103.0,1
416,2015,AFC,AFC East,BUF,8,8,0,0.5,3,379,359,20,0.445312,0.507812,NaN,NaN,36.0,-34.0,0
448,2016,AFC,AFC East,BUF,7,9,0,0.4375,3,399,378,21,0.330357,0.476562,NaN,NaN,20.0,1.0,1
480,2017,AFC,AFC East,BUF,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,6.0,LostWC,-97.0,-78.0,0
512,2018,AFC,AFC East,BUF,6,10,0,0.375,3,269,374,-105,0.40625,0.519531,NaN,NaN,-33.0,-48.0,0
544,2019,AFC,AFC East,BUF,10,6,0,0.625,2,314,259,55,0.3625,0.460938,5.0,LostWC,45.0,160.0,1
576,2020,AFC,AFC East,BUF,4,0,0,1.0,1,123,100,23,0.09375,0.0234375,2.0,NaN,-191.0,-32.0,0
5,2002,AFC,AFC North,CIN,2,14,0,0.125,4,279,456,-177,0.40625,0.53125,NaN,NaN,174.0,-182.0,0
37,2003,AFC,AFC North,CIN,8,8,0,0.5,2,346,384,-38,0.46875,0.457031,NaN,NaN,67.0,139.0,1
69,2004,AFC,AFC North,CIN,8,8,0,0.5,3,374,372,2,0.453125,0.542969,NaN,NaN,28.0,40.0,1
101,2005,AFC,AFC North,CIN,11,5,0,0.6875,1,421,350,71,0.397727,0.476562,3.0,LostWC,47.0,69.0,1
133,2006,AFC,AFC North,CIN,8,8,0,0.5,2,373,331,42,0.453125,0.535156,NaN,NaN,-48.0,-29.0,0
165,2007,AFC,AFC North,CIN,7,9,0,0.4375,3,380,385,-5,0.339286,0.460938,NaN,NaN,7.0,-47.0,0
197,2008,AFC,AFC North,CIN,4,11,1,0.28125,3,204,364,-160,0.296875,0.550781,NaN,NaN,-176.0,-155.0,0
229,2009,AFC,AFC North,CIN,10,6,0,0.625,1,305,291,14,0.4375,0.492188,4.0,LostWC,101.0,174.0,1
261,2010,AFC,AFC North,CIN,4,12,0,0.25,4,322,395,-73,0.4375,0.582031,NaN,NaN,17.0,-87.0,0
293,2011,AFC,AFC North,CIN,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,6.0,LostWC,22.0,94.0,1
325,2012,AFC,AFC North,CIN,10,6,0,0.625,2,391,320,71,0.38125,0.4375,6.0,LostWC,47.0,50.0,1
357,2013,AFC,AFC North,CIN,10,6,0,0.625,1,416,312,104,0.49375,0.480469,4.0,LostWC,25.0,33.0,1
389,2014,AFC,AFC North,CIN,10,5,1,0.65625,2,365,344,21,0.425,0.496094,5.0,LostWC,-51.0,-83.0,0
421,2015,AFC,AFC North,CIN,12,4,0,0.75,1,419,279,140,0.40625,0.476562,3.0,LostWC,54.0,119.0,1
453,2016,AFC,AFC North,CIN,6,9,1,0.40625,3,325,315,10,0.333333,0.519531,NaN,NaN,-94.0,-130.0,0
485,2017,AFC,AFC North,CIN,7,9,0,0.4375,3,290,349,-59,0.321429,0.464844,NaN,NaN,-35.0,-69.0,0
517,2018,AFC,AFC North,CIN,6,10,0,0.375,4,368,455,-87,0.447917,0.527344,NaN,NaN,78.0,-28.0,0
549,2019,AFC,AFC North,CIN,2,14,0,0.125,4,279,420,-141,0.40625,0.550781,NaN,NaN,-89.0,-54.0,0
581,2020,AFC,AFC North,CIN,1,2,1,0.375,4,99,99,0,0.0625,0.0234375,NaN,NaN,-180.0,141.0,1
6,2002,AFC,AFC North,CLE,9,7,0,0.5625,2,344,320,24,0.409722,0.480469,6.0,LostWC,245.0,24.0,1
38,2003,AFC,AFC North,CLE,5,11,0,0.3125,4,254,322,-68,0.3625,0.539062,NaN,NaN,-90.0,-92.0,0
70,2004,AFC,AFC North,CLE,4,12,0,0.25,4,276,390,-114,0.46875,0.589844,NaN,NaN,22.0,-46.0,0
102,2005,AFC,AFC North,CLE,6,10,0,0.375,4,232,301,-69,0.395833,0.507812,NaN,NaN,-44.0,45.0,1
134,2006,AFC,AFC North,CLE,4,12,0,0.25,4,238,356,-118,0.4375,0.535156,NaN,NaN,6.0,-49.0,0
166,2007,AFC,AFC North,CLE,10,6,0,0.625,2,402,382,20,0.34375,0.429688,NaN,NaN,164.0,138.0,1
198,2008,AFC,AFC North,CLE,4,12,0,0.25,4,232,350,-118,0.4375,0.566406,NaN,NaN,-170.0,-138.0,0
230,2009,AFC,AFC North,CLE,5,11,0,0.3125,4,245,375,-130,0.3875,0.511719,NaN,NaN,13.0,-12.0,0
262,2010,AFC,AFC North,CLE,5,11,0,0.3125,3,271,332,-61,0.475,0.570312,NaN,NaN,26.0,69.0,1
294,2011,AFC,AFC North,CLE,4,12,0,0.25,4,218,307,-89,0.3125,0.53125,NaN,NaN,-53.0,-28.0,0
326,2012,AFC,AFC North,CLE,5,11,0,0.3125,4,302,368,-66,0.3875,0.507812,NaN,NaN,84.0,23.0,1
358,2013,AFC,AFC North,CLE,4,12,0,0.25,4,308,406,-98,0.453125,0.507812,NaN,NaN,6.0,-32.0,0
390,2014,AFC,AFC North,CLE,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,NaN,NaN,-9.0,60.0,1
422,2015,AFC,AFC North,CLE,3,13,0,0.1875,4,278,432,-154,0.270833,0.53125,NaN,NaN,-21.0,-116.0,0
454,2016,AFC,AFC North,CLE,1,15,0,0.0625,4,272,452,-180,0.3125,0.542969,NaN,NaN,-6.0,-26.0,0
486,2017,AFC,AFC North,CLE,0,16,0,0.0,4,234,410,-176,0.0,0.519531,NaN,NaN,-38.0,4.0,1
518,2018,AFC,AFC North,CLE,7,8,1,0.46875,3,359,392,-33,0.410714,0.511719,NaN,NaN,125.0,143.0,1
550,2019,AFC,AFC North,CLE,6,10,0,0.375,3,335,393,-58,0.479167,0.53125,NaN,NaN,-24.0,-25.0,0
582,2020,AFC,AFC North,CLE,3,1,0,0.75,3,124,126,-2,0.0625,0.0234375,7.0,NaN,-211.0,56.0,1
12,2002,AFC,AFC West,DEN,9,7,0,0.5625,2,392,344,48,0.486111,0.527344,NaN,NaN,266.0,68.0,1
44,2003,AFC,AFC West,DEN,10,6,0,0.625,2,381,301,80,0.40625,0.5,6.0,LostWC,-11.0,32.0,1
76,2004,AFC,AFC West,DEN,10,6,0,0.625,2,381,304,77,0.45,0.484375,6.0,LostWC,0.0,-3.0,0
108,2005,AFC,AFC West,DEN,13,3,0,0.8125,1,395,258,137,0.471154,0.5,2.0,LostCC,14.0,60.0,1
140,2006,AFC,AFC West,DEN,9,7,0,0.5625,3,319,305,14,0.4375,0.53125,NaN,NaN,-76.0,-123.0,0
172,2007,AFC,AFC West,DEN,7,9,0,0.4375,2,320,409,-89,0.419643,0.515625,NaN,NaN,1.0,-103.0,0
204,2008,AFC,AFC West,DEN,8,8,0,0.5,2,370,448,-78,0.4375,0.457031,NaN,NaN,50.0,11.0,1
236,2009,AFC,AFC West,DEN,8,8,0,0.5,2,326,324,2,0.515625,0.527344,NaN,NaN,-44.0,80.0,1
268,2010,AFC,AFC West,DEN,4,12,0,0.25,4,344,471,-127,0.453125,0.515625,NaN,NaN,18.0,-129.0,0
